ID,PREDICTED
1950,neutral
1951,neutral
1952,neutral
1953,neutral
1954,neutral
1955,neutral
1956,neutral
1957,neutral
1958,neutral
1959,neutral
1960,neutral
1961,neutral
1962,neutral
1963,neutral
1964,neutral
1965,neutral
1966,positive
1967,neutral
1968,neutral
1969,neutral
1970,neutral
1971,neutral
1972,positive
1973,neutral
1974,neutral
1975,neutral
1976,neutral
1977,neutral
1978,neutral
1979,neutral
1980,neutral
1981,neutral
1982,neutral
1983,neutral
1984,neutral
1985,neutral
1986,neutral
1987,neutral
1988,neutral
1989,positive
1990,neutral
1991,neutral
1992,neutral
1993,neutral
1994,neutral
1995,neutral
1996,neutral
1997,neutral
1998,neutral
1999,neutral
2000,neutral
2001,neutral
2002,neutral
2003,neutral
2004,neutral
2005,neutral
2006,neutral
2007,neutral
2008,neutral
2009,neutral
2010,neutral
2011,neutral
2012,neutral
2013,neutral
2014,neutral
2015,neutral
2016,neutral
2017,neutral
2018,neutral
2019,neutral
2020,neutral
2021,neutral
2022,neutral
2023,neutral
2024,neutral
2025,neutral
2026,neutral
2027,neutral
2028,neutral
2029,neutral
2030,neutral
2031,neutral
2032,neutral
2033,neutral
2034,neutral
2035,neutral
2036,neutral
2037,neutral
2038,neutral
2039,neutral
2040,neutral
2041,neutral
2042,neutral
2043,neutral
2044,neutral
2045,neutral
2046,neutral
2047,neutral
2048,neutral
2049,neutral
2050,negative
2051,neutral
2052,neutral
2053,neutral
2054,neutral
2055,negative
2056,neutral
2057,neutral
2058,neutral
2059,neutral
2060,neutral
2061,neutral
2062,neutral
2063,neutral
2064,positive
2065,neutral
2066,neutral
2067,neutral
2068,neutral
2069,neutral
2070,neutral
2071,neutral
2072,neutral
2073,neutral
2074,neutral
2075,neutral
2076,neutral
2077,neutral
2078,neutral
2079,neutral
2080,positive
2081,negative
2082,neutral
2083,neutral
2084,negative
2085,negative
2086,neutral
2087,neutral
2088,neutral
2089,neutral
2090,neutral
2091,neutral
2092,neutral
2093,neutral
2094,neutral
2095,neutral
2096,neutral
2097,neutral
2098,neutral
2099,neutral
2100,neutral
2101,neutral
2102,neutral
2103,positive
2104,neutral
2105,neutral
